"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0265467","FBgn0265467",0.140472585955057,0.953636220076384,-48.3484407500689,-53.1703790683932,13,7,27.2420363749592,0,0,0,FALSE
"FBgn0265487","FBgn0265487",0.2116500535211,0.99313808626087,-90.1761162694669,-94.3654696245885,13,7,1269.54741457095,0,0,0,FALSE
"FBgn0265496","FBgn0265496",0.998146727181029,1,-48.7996765344652,-49.0364019532647,13,7,17.5896084625316,0,0,0,FALSE
"FBgn0265497","FBgn0265497",0.981457165616577,1,-41.6124399192095,-42.1633407060197,13,7,9.58539176500313,0,0,0,FALSE
"FBgn0265498","FBgn0265498",0.835727133708649,1,-41.1477421687664,-42.5384986013628,13,7,7.87062531021176,0,0,0,FALSE
"FBgn0265499","FBgn0265499",0.993749817774441,1,-58.4909072889623,-58.8574328208172,13,7,64.3582032971288,0,0,0,FALSE
"FBgn0265500","FBgn0265500",0.923580860180606,1,-43.8029226403014,-44.7815872932904,13,7,18.6825337818075,0,0,0,FALSE
"FBgn0265508","FBgn0265508",0.296742522285927,1,-134.490114321273,-138.124285166167,13,7,6299.60196696036,0,0,0,FALSE
"FBgn0265509","FBgn0265509",0.656110241619574,1,-44.6322641159277,-46.7082823369222,13,7,15.3015230675603,0,0,0,FALSE
"FBgn0265511","FBgn0265511",0.110462093452461,0.94676809818053,-57.6436750251969,-62.8213648861657,13,7,47.1897221853007,0,0,0,FALSE
"FBgn0265512","FBgn0265512",0.00120525651732019,0.231178106239962,-116.564254019386,-127.569825384414,13,7,6370.71142978718,0,0,0,FALSE
"FBgn0265523","FBgn0265523",0.563497161963176,1,-107.281565353303,-109.705388150266,13,7,1424.39306139714,0,0,0,FALSE
"FBgn0265525","FBgn0265525",0.999974854773102,1,-38.2892080985028,-38.3431657099816,13,7,6.5631059672665,0,0,0,FALSE
"FBgn0265526","FBgn0265526",0.062423843467626,0.912378555567536,-58.3540301994469,-64.3438660456256,13,7,62.3733705395751,0,0,0,FALSE
"FBgn0265527","FBgn0265527",0.424822286758404,1,-58.3252285456671,-61.3179520904095,13,7,39.8182319216123,0,0,0,FALSE
"FBgn0265529","FBgn0265529",0.144748998912879,0.954520849588644,-59.3069203255163,-64.0837689077367,13,7,54.4174090893097,0,0,0,FALSE
"FBgn0265530","FBgn0265530",0.885134627400251,1,-63.0383634655758,-64.2120881845625,13,7,85.8055881716583,0,0,0,FALSE
"FBgn0265531","FBgn0265531",0.686048394491122,1,-49.5475136162608,-51.5128850892121,13,7,16.2970329367121,0,0,0,FALSE
"FBgn0265532","FBgn0265532",0.999654473780321,1,-42.6187899457879,-42.7505558088305,13,7,7.68662607010863,0,0,0,FALSE
"FBgn0265534","FBgn0265534",0.983775149869278,1,-44.8917420429811,-45.4151500429162,13,7,9.38301852990516,0,0,0,FALSE
"FBgn0265535","FBgn0265535",0.188012711356268,0.984573158153362,-77.5753011849359,-81.9513059063604,13,7,203.800901627775,0,0,0,FALSE
"FBgn0265537","FBgn0265537",0.947135216853579,1,-55.4567531583337,-56.2935922328745,13,7,28.1402623816149,0,0,0,FALSE
"FBgn0265538","FBgn0265538",0.211309012680944,0.992899139216122,-113.323753474952,-117.515672770987,13,7,1478.63445262083,0,0,0,FALSE
"FBgn0265539","FBgn0265539",0.102337675503912,0.937751418573951,-142.011664477731,-147.300524583774,13,7,11057.4620535981,0,0,0,FALSE
"FBgn0265540","FBgn0265540",0.965332178174573,1,-49.3425780646194,-50.0468861963533,13,7,27.7446420023792,0,0,0,FALSE
"FBgn0265541","FBgn0265541",0.695210810479767,1,-127.90133039117,-129.832827304385,13,7,3872.27675239466,0,0,0,FALSE
"FBgn0265543","FBgn0265543",0.9952846290093,1,-41.697233876326,-42.0279818138448,13,7,5.98599562831518,0,0,0,FALSE
"FBgn0265544","FBgn0265544",0.908163835607425,1,-36.3020264059097,-37.3629200558439,13,7,5.74612781365992,0,0,0,FALSE
"FBgn0265545","FBgn0265545",0.290562509071923,1,-41.1017324096423,-44.7716311041311,13,7,8.49247765439635,0,0,0,FALSE
"FBgn0265546","FBgn0265546",0.337540784718505,1,-82.5908571127694,-86.0022843711508,13,7,213.7747551398,0,0,0,FALSE
"FBgn0265547","FBgn0265547",0.811472781832955,1,-70.9708519198816,-72.4603724029566,13,7,67.1107895991276,0,0,0,FALSE
"FBgn0265548","FBgn0265548",0.117807534134699,0.94676809818053,-66.0465692700298,-71.1298899989598,13,7,76.1278280766373,0,0,0,FALSE
"FBgn0265551","FBgn0265551",0.174214338083906,0.971078487997949,-63.8782058727754,-68.3725579551381,13,7,80.0735749253376,0,0,0,FALSE
"FBgn0265574","FBgn0265574",0.786156509066227,1,-75.5000831136449,-77.0892411734933,13,7,590.019121919141,0,0,0,FALSE
