"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0261385","FBgn0261385",0.285573911347244,0.876181306002512,-91.8310754525461,-95.5302436305654,13,7,454.122316224885,0,0,0,FALSE
"FBgn0261387","FBgn0261387",0.286800033771558,0.878211430768232,-90.6250919754464,-94.3170297393849,13,7,1336.26812708371,0,0,0,FALSE
"FBgn0261393","FBgn0261393",0.82643071069599,1,-106.991334533966,-108.420399993352,13,7,2144.27287793756,0,0,0,FALSE
"FBgn0261394","FBgn0261394",0.999048632696007,1,-124.905913598191,-125.093154064167,13,7,7574.00617905364,0,0,0,FALSE
"FBgn0261395","FBgn0261395",0.0299707431361432,0.340097500920108,-81.7351916861285,-88.7202952494621,13,7,196.886903168206,0,0,0,FALSE
"FBgn0261396","FBgn0261396",0.908870718083779,1,-119.263079314123,-120.320338219026,13,7,6057.01686466891,0,0,0,FALSE
"FBgn0261397","FBgn0261397",0.45932011752761,1,-127.259583916563,-130.102358454185,13,7,4410.23579527791,0,0,0,FALSE
"FBgn0261399","FBgn0261399",0.566102210993501,1,-66.017201874513,-68.4310219161539,13,7,65.0601194100384,0,0,0,FALSE
"FBgn0261402","FBgn0261402",0.0996074311740168,0.540953801431298,-42.5301633378202,-47.858171800135,13,7,8.94161603022408,0,0,0,FALSE
"FBgn0261403","FBgn0261403",0.843027021360502,1,-109.500836225027,-110.861056548969,13,7,2769.21368113553,0,0,0,FALSE
"FBgn0261429","FBgn0261429",0.819001180553889,1,-42.0441218451342,-43.5033843292798,13,7,10.6443766117611,0,0,0,FALSE
"FBgn0261436","FBgn0261436",0.756600838169003,1,-117.328663831783,-119.031021000634,13,7,3081.93525189629,0,0,0,FALSE
"FBgn0261437","FBgn0261437",0.910063441183545,1,-70.2781690171863,-71.3292681349277,13,7,230.470486411635,0,0,0,FALSE
"FBgn0261439","FBgn0261439",0.587431516560028,1,-123.144278531003,-125.476807385826,13,7,9760.5351194723,0,0,0,FALSE
"FBgn0261444","FBgn0261444",0.101857553438383,0.54710829336313,-137.671659157611,-142.967334807167,13,7,7394.39040159718,0,0,0,FALSE
"FBgn0261445","FBgn0261445",0.27013389792473,0.853276951168036,-102.281481637844,-106.073835489606,13,7,1093.10455846375,0,0,0,FALSE
"FBgn0261446","FBgn0261446",0.908757060307467,1,-57.7677168742938,-58.8255609934317,13,7,63.3498993341663,0,0,0,FALSE
"FBgn0261451","FBgn0261451",0.00680812572700993,0.173085097320385,-115.349721811105,-124.239360862559,13,7,2834.87518811126,0,0,0,FALSE
"FBgn0261456","FBgn0261456",0.0178618780768355,0.272121554535955,-91.95549166125,-99.6188781356182,13,7,907.427939462192,0,0,0,FALSE
"FBgn0261458","FBgn0261458",0.0166666380846918,0.265072650834189,-109.815965845377,-117.568914092556,13,7,3148.55413493579,0,0,0,FALSE
"FBgn0261461","FBgn0261461",0.895225995708848,1,-110.940392358793,-112.065901578552,13,7,2376.49864557831,0,0,0,FALSE
"FBgn0261477","FBgn0261477",0.722952107669391,1,-113.968372206766,-115.796967773899,13,7,3033.18465229196,0,0,0,FALSE
"FBgn0261479","FBgn0261479",0.475509144402147,1,-90.2269922772479,-93.0016802901664,13,7,976.756774747755,0,0,0,FALSE
"FBgn0261502","FBgn0261502",0.0826478612826911,0.507595614711194,-87.5257895638782,-93.1213212285545,13,7,311.522496662125,0,0,0,FALSE
"FBgn0261503","FBgn0261503",0.986040258655726,1,-56.8609707935705,-57.3552778243458,13,7,19.5026181415634,0,0,0,FALSE
