"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0034655","FBgn0034655",0.115926308992614,0.577281687348357,-99.8232611747065,-104.930238328712,13,7,1428.44793038149,0,0,0,FALSE
"FBgn0034657","FBgn0034657",0.800887509699796,1,-83.4947941791789,-85.0263401113736,13,7,259.653464566328,0,0,0,FALSE
"FBgn0034658","FBgn0034658",0.00300326897242898,0.0401603023037167,-105.052640713264,-114.9536356363,13,7,1565.84717623046,0,0,0,FALSE
"FBgn0034659","FBgn0034659",0.0390374490215831,0.262808364735206,-111.349620594877,-117.981363287227,13,7,802.344912985482,0,0,0,FALSE
"FBgn0034660","FBgn0034660",0.990712011756287,1,-59.4307325404685,-59.854944102158,13,7,25.5512603557004,0,0,0,FALSE
"FBgn0034661","FBgn0034661",0.6541930215673,1,-49.7021820084724,-51.7852943896185,13,7,18.9306554885061,0,0,0,FALSE
"FBgn0034662","FBgn0034662",0.961604131041526,1,-136.715528770272,-137.449433381673,13,7,2803.20066512698,0,0,0,FALSE
"FBgn0034663","FBgn0034663",0.873434998982931,1,-138.153420660381,-139.381076924924,13,7,2653.68121868614,0,0,0,FALSE
"FBgn0034664","FBgn0034664",0.955916129217484,1,-134.6500468567,-135.426405566772,13,7,2168.64195546379,0,0,0,FALSE
"FBgn0034667","FBgn0034667",0.0179071435172677,0.147502194513118,-72.1874079446244,-79.8475165194114,13,7,66.4539256904511,0,0,0,FALSE
"FBgn0034670","FBgn0034670",0.983501431318731,1,-80.3332156178811,-80.8599803348644,13,7,128.241744052008,0,0,0,FALSE
"FBgn0034671","FBgn0034671",0.238114737230421,0.898588903701414,-87.1715520891854,-91.1714740721559,13,7,417.102114218278,0,0,0,FALSE
"FBgn0034674","FBgn0034674",0.997275661513532,1,-97.529956204677,-97.8014398404467,13,7,1013.35651465294,0,0,0,FALSE
