"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"FBgn0031451","FBgn0031451",0.0109523846955762,0.0962678565211803,-53.0291581648786,-60.4619502052391,7,2,917.331251749548,0,0,FALSE
"FBgn0031452","FBgn0031452",0.977056597282639,0.999999795904049,-39.1095086929505,-39.5093263614467,7,2,434.425103811319,0,0,FALSE
"FBgn0031453","FBgn0031453",0.0100716543995164,0.0927174917173104,-69.2143896176704,-76.74887640938,7,2,11244.1275864104,0,0,FALSE
"FBgn0031456","FBgn0031456",0.0284818261084307,0.155782237957128,-39.4328026325054,-45.6855068628155,7,2,447.55167452685,0,0,FALSE
"FBgn0031457","FBgn0031457",0.108850981653832,0.341733507873756,-41.6278752275003,-46.1305498881423,7,2,458.563256995489,0,0,FALSE
"FBgn0031458","FBgn0031458",0.752400926482288,0.999999795904049,-42.5264249383404,-43.8558619493774,7,2,531.546849214921,0,0,FALSE
"FBgn0031459","FBgn0031459",0.992875372820527,0.999999795904049,-59.806086073373,-60.04553831506,7,2,3542.48674252704,0,0,FALSE
"FBgn0031460","FBgn0031460",0.0070363055893194,0.0768505076923949,-39.44832164782,-47.41510843875,7,2,204.128706309151,0,0,FALSE
"FBgn0031461","FBgn0031461",1.6761507300494e-29,2.13358750201379e-26,-47.7536152097799,-120.171725318313,7,2,1069.17829162206,0,0,FALSE
"FBgn0031462","FBgn0031462",0.0116946560648897,0.099675502803339,-58.6014283121234,-65.9544921302288,7,2,1942.20021618317,0,0,FALSE
"FBgn0031463","FBgn0031463",0.0332424594942186,0.168232009808425,-43.2751674709292,-49.3327849969607,7,2,211.666087324576,0,0,FALSE
"FBgn0031464","FBgn0031464",0.520325449905133,0.913870824017913,-45.8839445274835,-47.9863335865791,7,2,405.059488252509,0,0,FALSE
"FBgn0031465","FBgn0031465",0.0302983054956252,0.160845547637714,-35.7438769191833,-41.9187092990664,7,2,76.5758158950942,0,0,FALSE
"FBgn0031466","FBgn0031466",0.998771496707483,0.999999795904049,-25.9047527898985,-26.0191795702032,7,2,27.2216890123041,0,0,FALSE
"FBgn0031467","FBgn0031467",0.502706935128807,0.897376503798005,-23.6597831418657,-25.825651553424,7,2,18.9926042076385,0,0,FALSE
"FBgn0031468","FBgn0031468",0.999318948915646,0.999999795904049,-49.7979383946737,-49.8876825790072,7,2,908.90701365362,0,0,FALSE
"FBgn0031469","FBgn0031469",0.0381315222544994,0.181076950003226,-34.5456525918849,-40.4288918328639,7,2,79.0041648527085,0,0,FALSE
"FBgn0031470","FBgn0031470",0.0581227039631754,0.229766826903552,-41.4765700186122,-46.8162182687587,7,2,145.118690805837,0,0,FALSE
"FBgn0031471","FBgn0031471",0.815725992398907,0.999999795904049,-25.8973648249638,-27.0149977623665,7,2,11.5284144091413,0,0,FALSE
"FBgn0031472","FBgn0031472",0.827990561697885,0.999999795904049,-52.1158095529226,-53.1909281260019,7,2,986.065949640781,0,0,FALSE
"FBgn0031473","FBgn0031473",0.476496060323663,0.871135746550173,-42.4848172893194,-44.7475028588187,7,2,280.524813055225,0,0,FALSE
"FBgn0031474","FBgn0031474",0.000843918059813439,0.0200280350398437,-59.0080358815952,-69.4609575026494,7,2,5344.00960002901,0,0,FALSE
"FBgn0031476","FBgn0031476",0.00790957233013566,0.0824576630797875,-61.1568788468553,-68.9831202547958,7,2,2578.23990785522,0,0,FALSE
"FBgn0031478","FBgn0031478",0.0477156718903994,0.205120767875631,-63.1466686737754,-68.7423344647518,7,2,6881.3241404105,0,0,FALSE
"FBgn0031479","FBgn0031479",0.861076400785722,0.999999795904049,-37.4647918285909,-38.4211847831689,7,2,358.286646754336,0,0,FALSE
"FBgn0031483","FBgn0031483",0.0799360990303285,0.28002633440647,-56.7542945465603,-61.6736557324872,7,2,1277.52338300419,0,0,FALSE
"FBgn0031484","FBgn0031484",0.285738190486146,0.643646419431631,-42.8487078022827,-45.956853368834,7,2,490.319595702114,0,0,FALSE
"FBgn0031485","FBgn0031485",0.992338884974274,0.999999795904049,-39.6878131208065,-39.9348471730207,7,2,353.429119930709,0,0,FALSE
"FBgn0031488","FBgn0031488",0.387086400538737,0.772360813573848,-33.1277384295377,-35.7486494835896,7,2,102.085691155665,0,0,FALSE
"FBgn0031489","FBgn0031489",0.201380968915203,0.515020333653091,-64.3564845432016,-67.9910556415439,7,2,4770.79410649396,0,0,FALSE
"FBgn0031490","FBgn0031490",0.027253660521995,0.152094760713023,-52.6195110335288,-58.9276044246082,7,2,1001.93180051686,0,0,FALSE
"FBgn0031491","FBgn0031491",0.411300645615826,0.801646943194989,-48.9042525710533,-51.4230858229213,7,2,1004.01781772864,0,0,FALSE
"FBgn0031492","FBgn0031492",0.373931745487569,0.75650806246452,-41.3158046776792,-43.9940814209486,7,2,561.096336684585,0,0,FALSE
"FBgn0031493","FBgn0031493",0.905454007616248,0.999999795904049,-44.2147119055959,-44.9971914595797,7,2,1035.39225547596,0,0,FALSE
"FBgn0031494","FBgn0031494",0.900296352807501,0.999999795904049,-33.8288882439326,-34.6328217601339,7,2,108.85438075781,0,0,FALSE
"FBgn0031495","FBgn0031495",0.999981797759766,0.999999795904049,-43.6909758841398,-43.7116412443383,7,2,627.653185510081,0,0,FALSE
"FBgn0031496","FBgn0031496",0.00785138667920215,0.0822252178625195,-48.0878995441707,-55.9230242488549,7,2,424.582011658534,0,0,FALSE
"FBgn0031497","FBgn0031497",0.13008187516945,0.383421085210934,-54.8340399031105,-59.0911392761848,7,2,2495.66775802551,0,0,FALSE
"FBgn0031498","FBgn0031498",0.267607308745228,0.616491861969511,-46.7590451990703,-49.9682484953822,7,2,765.877058540473,0,0,FALSE
"FBgn0031500","FBgn0031500",0.35382270517077,0.734176869857901,-51.6838658794063,-54.4527478053186,7,2,1284.68265089572,0,0,FALSE
"FBgn0031501","FBgn0031501",0.0121728568038833,0.102246155349715,-58.6787251158427,-65.9829821418764,7,2,1974.7366222432,0,0,FALSE
"FBgn0031504","FBgn0031504",0.00617164062263632,0.0712997623747144,-49.7341958705025,-57.8579868797283,7,2,669.15830874548,0,0,FALSE
"FBgn0031505","FBgn0031505",0.989369749778691,0.999999795904049,-55.8337157804599,-56.1183183268305,7,2,2012.62485831336,0,0,FALSE
"FBgn0031513","FBgn0031513",0.223086951883156,0.549843953576474,-40.9785541622403,-44.4621820439059,7,2,146.496460290444,0,0,FALSE
"FBgn0031514","FBgn0031514",0.830868655094313,0.999999795904049,-49.7254102439344,-50.7904514126683,7,2,431.201045170127,0,0,FALSE
